iter	MultiClass
0	1.001865487
1	0.9332360511
2	0.8845550384
3	0.8471248458
4	0.8101448721
5	0.7867111726
6	0.7628129007
7	0.7414007242
8	0.7253201891
9	0.7073064081
10	0.6919743246
11	0.6785477517
12	0.6675126506
13	0.6569707249
14	0.6494250213
15	0.6428508002
16	0.6330031113
17	0.6266767165
18	0.6172539108
19	0.6083477446
20	0.6003975195
21	0.5926586168
22	0.5835557861
23	0.5778676005
24	0.5730563156
25	0.5693493532
26	0.5637889757
27	0.5565253195
28	0.5514645644
29	0.5472295857
30	0.5401781104
31	0.5345608885
32	0.5299461917
33	0.525830719
34	0.5153656762
35	0.5098347257
36	0.5041858431
37	0.5006930335
38	0.4941548571
39	0.4861580968
40	0.4831023153
41	0.4779422807
42	0.4745042054
43	0.4692714802
44	0.4631546646
45	0.4584191218
46	0.4535507807
47	0.4497384798
48	0.4444804417
49	0.4413593495
50	0.4388387129
51	0.4367756393
52	0.4352595763
53	0.4308229667
54	0.4259102754
55	0.4237267794
56	0.4187917267
57	0.4147212692
58	0.4103341138
59	0.4067813551
60	0.4005976131
61	0.3953496563
62	0.3923158836
63	0.3882815121
64	0.3839469936
65	0.3811269251
66	0.376576456
67	0.3726273818
68	0.3699200345
69	0.3685398129
70	0.3648027561
71	0.35990214
72	0.354455616
73	0.3530605907
74	0.3510438882
75	0.3483327387
76	0.3448439627
77	0.3429100597
78	0.3395236231
79	0.3371346932
80	0.3336494969
81	0.3315133259
82	0.3296050264
83	0.3282411159
84	0.3243338098
85	0.3220792516
86	0.3186660153
87	0.3167648798
88	0.3136029338
89	0.312042875
90	0.309057575
91	0.3078139595
92	0.3055340138
93	0.3038684473
94	0.300470854
95	0.2986656443
96	0.2966454987
97	0.2938206947
98	0.2910633375
99	0.2893397314
100	0.2882256857
101	0.286885201
102	0.285231525
103	0.2830123077
104	0.2818423527
105	0.278865696
106	0.2775105164
107	0.2757574307
108	0.2735884869
109	0.2710831396
110	0.2692264067
111	0.2680460596
112	0.2667339287
113	0.2643508748
114	0.2625157902
115	0.2610760452
116	0.2589636569
117	0.2570087717
118	0.2537660713
119	0.2517275815
120	0.249916908
121	0.2489022375
122	0.2478622318
123	0.246509174
124	0.2455275941
125	0.2439655517
126	0.2419507492
127	0.2392724937
128	0.2380770091
129	0.2359293838
130	0.2347434948
131	0.2327711582
132	0.2317253706
133	0.2301807838
134	0.2279143132
135	0.2263476933
136	0.2250159532
137	0.223917289
138	0.2226476325
139	0.2199220692
140	0.2188737086
141	0.2177453122
142	0.2160307626
143	0.2147088447
144	0.2134303014
145	0.2120798246
146	0.2108696078
147	0.2096895967
148	0.2072247644
149	0.2062903612
150	0.2050766136
151	0.203906036
152	0.2033150891
153	0.2020211431
154	0.201026193
155	0.1997985066
156	0.1991115094
157	0.1982296773
158	0.1964842233
159	0.1947980955
160	0.1937208693
161	0.1931840623
162	0.1920776319
163	0.190541213
164	0.1892774479
165	0.1883755026
166	0.1870838042
167	0.1849803154
168	0.1833074294
169	0.1816850446
170	0.1806274768
171	0.1800116898
172	0.1790917049
173	0.1783990573
174	0.1769859727
175	0.1759600488
176	0.1747332289
177	0.1738624931
178	0.1727483531
179	0.1721367751
180	0.1710352093
181	0.1695469162
182	0.168127863
183	0.1676773427
184	0.1670312756
185	0.166262052
186	0.1654667645
187	0.1647779217
188	0.16322864
189	0.1623329353
190	0.1614356215
191	0.1605080267
192	0.1596776405
193	0.1591613748
194	0.1584303657
195	0.1577003626
196	0.1565729024
197	0.156024875
198	0.1548300388
199	0.154273818
200	0.153243786
201	0.1520685829
202	0.1506860138
203	0.1500490692
204	0.1488185794
205	0.1474631219
206	0.1469248606
207	0.1459090483
208	0.1450779741
209	0.144162687
210	0.1433548327
211	0.1426146363
212	0.141803133
213	0.1411226472
214	0.14046991
215	0.1399095992
216	0.138992718
217	0.1381964534
218	0.1375922243
219	0.1367745023
220	0.1358633025
221	0.1349981268
222	0.1342737475
223	0.1335677903
224	0.1330162381
225	0.1323919358
226	0.1317942011
227	0.1312662351
228	0.1302291044
229	0.1297251863
230	0.1287656026
231	0.1284148231
232	0.1277038043
233	0.1267893745
234	0.1263112865
235	0.1255838213
236	0.1247057788
237	0.1235939491
238	0.1230240314
239	0.1225386658
240	0.1222085655
241	0.1216390991
242	0.1208475793
243	0.1200478701
244	0.1191666222
245	0.1185707632
246	0.1180805764
247	0.1172704112
248	0.1165771959
249	0.1158277213
250	0.1154495773
251	0.1148099165
252	0.1143183502
253	0.1137460241
254	0.1128878671
255	0.1125453606
256	0.1121060659
257	0.1115103234
258	0.1110361952
259	0.1104514638
260	0.110170861
261	0.109375347
262	0.1090625143
263	0.1086499673
264	0.1079037203
265	0.1074545897
266	0.1068758733
267	0.1064018088
268	0.1056493764
269	0.1049972081
270	0.1047521965
271	0.1040447716
272	0.1034563103
273	0.1031067727
274	0.1028307417
275	0.1023540955
276	0.1019213524
277	0.1011703608
278	0.1008628343
279	0.1004737133
280	0.09996932819
281	0.09959355821
282	0.09906385735
283	0.09865221523
284	0.09820603934
285	0.09796210639
286	0.09754815798
287	0.09694850796
288	0.09639314443
289	0.09609419138
290	0.09559540936
291	0.09526769042
292	0.09470561076
293	0.09448106571
294	0.09412763562
295	0.09391400167
296	0.09334728121
297	0.09298424242
298	0.09280796969
299	0.09230165677
